Source	Description	ID	Units	Analyzed timeframe 	Resolution	Source	Category
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO11_=_Mean_temperature_of_coldest_quarter:_mean	MERRAclimmean_80s_bio9	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO12_=_Annual_precipitation:_mean	MERRAclimmean_80s_bio10	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO13_=_Precipitation_of_wettest_month:_mean	MERRAclimmean_80s_bio11	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO14_=_Precipitation_of_driest_month:_mean	MERRAclimmean_80s_bio12	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO15_=_Precipitation_seasonality_(coefficient_of_variation):_mean	MERRAclimmean_80s_bio13	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO16_=_Precipitation_of_wettest_quarter:_mean	MERRAclimmean_80s_bio14	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO17_=_Precipitation_of_driest_quarter:_mean	MERRAclimmean_80s_bio15	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO18_=_Precipitation_of_warmest_quarter:_mean	MERRAclimmean_80s_bio16	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO19_=_Precipitation_of_coldest_quarter:_mean	MERRAclimmean_80s_bio17	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO2_=_Mean_diurnal_range:_mean	MERRAclimmean_80s_bio18	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO3_=_Isothermality:_mean	MERRAclimmean_80s_bio19	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s_BIO1_=_Annual__temperature:_mean	MERRAclimmean_90s_bio1	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO2_=_Mean_diurnal_range:_mean	MERRAclimmean_90s_bio2	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO3_=_Isothermality:_mean	MERRAclimmean_90s_bio3	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO4_=_Temperature_seasonality:_mean	MERRAclimmean_90s_bio4	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO5_=_Max_temperature_of_warmest_month:_mean	MERRAclimmean_90s_bio5	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO6_=_Min_temperature_of_coldest_month:_mean	MERRAclimmean_90s_bio6	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO7_=_Temperature_annual_range:_mean	MERRAclimmean_90s_bio7	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO8_=_Mean_temperature_of_wettest_quarter:_mean	MERRAclimmean_90s_bio8	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO9_=_Mean_temperature_of_driest_quarter:_mean	MERRAclimmean_90s_bio9	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO10_=_Mean_temperature_of_warmest_quarter:_mean	MERRAclimmean_90s_bio10	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO11_=_Mean_temperature_of_coldest_quarter:_mean	MERRAclimmean_90s_bio11	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO12_=_Annual_precipitation:_mean	MERRAclimmean_90s_bio12	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO13_=_Precipitation_of_wettest_month:_mean	MERRAclimmean_90s_bio13	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO14_=_Precipitation_of_driest_month:_mean	MERRAclimmean_90s_bio14	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO15_=_Precipitation_seasonality_(coefficient_of_variation):_mean	MERRAclimmean_90s_bio15	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO16_=_Precipitation_of_wettest_quarter:_mean	MERRAclimmean_90s_bio16	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO17_=_Precipitation_of_driest_quarter:_mean	MERRAclimmean_90s_bio17	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO18_=_Precipitation_of_warmest_quarter:_mean	MERRAclimmean_90s_bio18	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO19_=_Precipitation_of_coldest_quarter:_mean	MERRAclimmean_90s_bio19	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s_BIO1_=_Annual__temperature:_mean	MERRAclimmean_00s_bio1	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO2_=_Mean_diurnal_range:_mean	MERRAclimmean_00s_bio2	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO3_=_Isothermality:_mean	MERRAclimmean_00s_bio3	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO4_=_Temperature_seasonality:_mean	MERRAclimmean_00s_bio4	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO5_=_Max_temperature_of_warmest_month:_mean	MERRAclimmean_00s_bio5	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO6_=_Min_temperature_of_coldest_month:_mean	MERRAclimmean_00s_bio6	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO7_=_Temperature_annual_range:_mean	MERRAclimmean_00s_bio7	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO8_=_Mean_temperature_of_wettest_quarter:_mean	MERRAclimmean_00s_bio8	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO9_=_Mean_temperature_of_driest_quarter:_mean	MERRAclimmean_00s_bio9	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO10_=_Mean_temperature_of_warmest_quarter:_mean	MERRAclimmean_00s_bio10	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO11_=_Mean_temperature_of_coldest_quarter:_mean	MERRAclimmean_00s_bio11	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO12_=_Annual_precipitation:_mean	MERRAclimmean_00s_bio12	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO13_=_Precipitation_of_wettest_month:_mean	MERRAclimmean_00s_bio13	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO14_=_Precipitation_of_driest_month:_mean	MERRAclimmean_00s_bio14	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO15_=_Precipitation_seasonality_(coefficient_of_variation):_mean	MERRAclimmean_00s_bio15	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO16_=_Precipitation_of_wettest_quarter:_mean	MERRAclimmean_00s_bio16	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO17_=_Precipitation_of_driest_quarter:_mean	MERRAclimmean_00s_bio17	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO18_=_Precipitation_of_warmest_quarter:_mean	MERRAclimmean_00s_bio18	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO19_=_Precipitation_of_coldest_quarter:_mean	MERRAclimmean_00s_bio19	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s_BIO1_=_Annual__temperature:_minimum	MERRAclimmin_80s_bio1	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO2_=_Mean_diurnal_range:_minimum	MERRAclimmin_80s_bio2	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO3_=_Isothermality:_minimum	MERRAclimmin_80s_bio3	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO4_=_Temperature_seasonality:_minimum	MERRAclimmin_80s_bio4	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO5_=_Max_temperature_of_warmest_month:_minimum	MERRAclimmin_80s_bio5	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO6_=_Min_temperature_of_coldest_month:_minimum	MERRAclimmin_80s_bio6	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO7_=_Temperature_annual_range:_minimum	MERRAclimmin_80s_bio7	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO8_=_Mean_temperature_of_wettest_quarter:_minimum	MERRAclimmin_80s_bio8	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO9_=_Mean_temperature_of_driest_quarter:_minimum	MERRAclimmin_80s_bio9	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO10_=_Mean_temperature_of_warmest_quarter:_minimum	MERRAclimmin_80s_bio10	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO11_=_Mean_temperature_of_coldest_quarter:_minimum	MERRAclimmin_80s_bio11	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO12_=_Annual_precipitation:_minimum	MERRAclimmin_80s_bio12	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO13_=_Precipitation_of_wettest_month:_minimum	MERRAclimmin_80s_bio13	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO14_=_Precipitation_of_driest_month:_minimum	MERRAclimmin_80s_bio14	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO15_=_Precipitation_seasonality_(coefficient_of_variation):_minimum	MERRAclimmin_80s_bio15	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO16_=_Precipitation_of_wettest_quarter:_minimum	MERRAclimmin_80s_bio16	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO17_=_Precipitation_of_driest_quarter:_minimum	MERRAclimmin_80s_bio17	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO18_=_Precipitation_of_warmest_quarter:_minimum	MERRAclimmin_80s_bio18	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO19_=_Precipitation_of_coldest_quarter:_minimum	MERRAclimmin_80s_bio19	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s_BIO1_=_Annual__temperature:_minimum	MERRAclimmin_90s_bio1	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO2_=_Mean_diurnal_range:_minimum	MERRAclimmin_90s_bio2	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO3_=_Isothermality:_minimum	MERRAclimmin_90s_bio3	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO4_=_Temperature_seasonality:_minimum	MERRAclimmin_90s_bio4	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO5_=_Max_temperature_of_warmest_month:_minimum	MERRAclimmin_90s_bio5	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO6_=_Min_temperature_of_coldest_month:_minimum	MERRAclimmin_90s_bio6	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO7_=_Temperature_annual_range:_minimum	MERRAclimmin_90s_bio7	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO8_=_Mean_temperature_of_wettest_quarter:_minimum	MERRAclimmin_90s_bio8	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO9_=_Mean_temperature_of_driest_quarter:_minimum	MERRAclimmin_90s_bio9	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO10_=_Mean_temperature_of_warmest_quarter:_minimum	MERRAclimmin_90s_bio10	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO11_=_Mean_temperature_of_coldest_quarter:_minimum	MERRAclimmin_90s_bio11	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO12_=_Annual_precipitation:_minimum	MERRAclimmin_90s_bio12	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO13_=_Precipitation_of_wettest_month:_minimum	MERRAclimmin_90s_bio13	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO14_=_Precipitation_of_driest_month:_minimum	MERRAclimmin_90s_bio14	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO15_=_Precipitation_seasonality_(coefficient_of_variation):_minimum	MERRAclimmin_90s_bio15	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO16_=_Precipitation_of_wettest_quarter:_minimum	MERRAclimmin_90s_bio16	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO17_=_Precipitation_of_driest_quarter:_minimum	MERRAclimmin_90s_bio17	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO18_=_Precipitation_of_warmest_quarter:_minimum	MERRAclimmin_90s_bio18	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO19_=_Precipitation_of_coldest_quarter:_minimum	MERRAclimmin_90s_bio19	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s_BIO1_=_Annual__temperature:_mean	MERRAclimmin_00s_bio1	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO2_=_Mean_diurnal_range:_mean	MERRAclimmin_00s_bio2	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO3_=_Isothermality:_mean	MERRAclimmin_00s_bio3	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO4_=_Temperature_seasonality:_mean	MERRAclimmin_00s_bio4	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO5_=_Max_temperature_of_warmest_month:_mean	MERRAclimmin_00s_bio5	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO6_=_Min_temperature_of_coldest_month:_mean	MERRAclimmin_00s_bio6	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO7_=_Temperature_annual_range:_mean	MERRAclimmin_00s_bio7	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO8_=_Mean_temperature_of_wettest_quarter:_mean	MERRAclimmin_00s_bio8	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO9_=_Mean_temperature_of_driest_quarter:_mean	MERRAclimmin_00s_bio9	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO10_=_Mean_temperature_of_warmest_quarter:_mean	MERRAclimmin_00s_bio10	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO11_=_Mean_temperature_of_coldest_quarter:_mean	MERRAclimmin_00s_bio11	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO12_=_Annual_precipitation:_mean	MERRAclimmin_00s_bio12	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO13_=_Precipitation_of_wettest_month:_mean	MERRAclimmin_00s_bio13	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO14_=_Precipitation_of_driest_month:_mean	MERRAclimmin_00s_bio14	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
